root,path,scope,freeze_status,review_status,reason
skill-claude,SKILL.md,personal-skill,matched,supporting-read,skill copies diffed for consistency
skill-claude,references/handoff.md,personal-skill,matched,supporting-read,skill copies diffed for consistency
skill-codex,SKILL.md,personal-skill,matched,supporting-read,skill copies diffed for consistency
skill-codex,agents/openai.yaml,personal-skill,matched,supporting-read,skill copies diffed for consistency
skill-codex,references/handoff.md,personal-skill,matched,supporting-read,skill copies diffed for consistency
adrl-progress-brief,SKILL.md,personal-skill,matched,supporting-read,skill copies diffed for consistency
adrl-progress-brief,agents/openai.yaml,personal-skill,matched,supporting-read,skill copies diffed for consistency
runtime,.gitignore,runtime,matched,not-reviewed,not opened by any inspector
runtime,AGENTS.md,runtime,matched,not-reviewed,not opened by any inspector
runtime,CLAUDE.md,runtime,matched,not-reviewed,not opened by any inspector
runtime,README.md,runtime,matched,not-reviewed,not opened by any inspector
runtime,api/adrl-api-v1-preview.json,runtime,matched,deep-reviewed,opened by an inspector
runtime,artifacts/lab/routing-suite-v1.json,runtime,matched,deep-reviewed,opened by an inspector
runtime,config/detectors.yaml,runtime,matched,not-reviewed,not opened by any inspector
runtime,config/endpoint-inventory-v1.json,runtime,matched,deep-reviewed,opened by an inspector
runtime,config/endpoint-inventory-v1.sig,runtime,matched,generated/duplicate,"patch, signature or bytecode; underlying source or json inspected where cited"
runtime,config/keys/dev/README.md,runtime,matched,not-reviewed,not opened by any inspector
runtime,config/keys/dev/checkpoint-signing.pub,runtime,matched,not-reviewed,not opened by any inspector
runtime,config/keys/dev/manifest-signing.pub,runtime,matched,not-reviewed,not opened by any inspector
runtime,config/learning-contract-v1.json,runtime,matched,deep-reviewed,opened by an inspector
runtime,config/policy.yaml,runtime,matched,deep-reviewed,opened by an inspector
runtime,config/prices.yaml,runtime,matched,not-reviewed,not opened by any inspector
runtime,config/provider-pairs.yaml,runtime,matched,deep-reviewed,opened by an inspector
runtime,config/repo-classification-v1.json,runtime,matched,not-reviewed,not opened by any inspector
runtime,config/repo-classification-v1.sig,runtime,matched,generated/duplicate,"patch, signature or bytecode; underlying source or json inspected where cited"
runtime,config/rungs.yaml,runtime,matched,deep-reviewed,opened by an inspector
runtime,config/tripwires.yaml,runtime,matched,not-reviewed,not opened by any inspector
runtime,config/trusted-tool-servers.yaml,runtime,matched,not-reviewed,not opened by any inspector
runtime,config/utility-fingerprints.yaml,runtime,matched,not-reviewed,not opened by any inspector
runtime,docs/adr-module-map.md,runtime,matched,deep-reviewed,opened by an inspector
runtime,docs/attempt-coordination.md,runtime,matched,deep-reviewed,opened by an inspector
runtime,docs/attempt-lifecycle.md,runtime,matched,deep-reviewed,opened by an inspector
runtime,docs/data-inventory.md,runtime,matched,deep-reviewed,opened by an inspector
runtime,docs/egress-anchoring.md,runtime,matched,deep-reviewed,opened by an inspector
runtime,docs/engineering-checks.md,runtime,matched,deep-reviewed,opened by an inspector
runtime,docs/isolated-execution.md,runtime,matched,deep-reviewed,opened by an inspector
runtime,docs/key-revocation.md,runtime,matched,deep-reviewed,opened by an inspector
runtime,docs/known-gaps.md,runtime,matched,deep-reviewed,opened by an inspector
runtime,docs/operator-captures.md,runtime,matched,deep-reviewed,opened by an inspector
runtime,docs/process-ownership.md,runtime,matched,deep-reviewed,opened by an inspector
runtime,docs/product-services.md,runtime,matched,deep-reviewed,opened by an inspector
runtime,docs/protocol-boundary.md,runtime,matched,deep-reviewed,opened by an inspector
runtime,docs/responses-admission.md,runtime,matched,deep-reviewed,opened by an inspector
runtime,docs/routing-features.md,runtime,matched,deep-reviewed,opened by an inspector
runtime,docs/routing-lab.md,runtime,matched,deep-reviewed,opened by an inspector
runtime,docs/stopped-resource-ownership.md,runtime,matched,deep-reviewed,opened by an inspector
runtime,docs/verifier-experiments.md,runtime,matched,deep-reviewed,opened by an inspector
runtime,pyproject.toml,runtime,matched,not-reviewed,not opened by any inspector
runtime,src/adrl/__init__.py,runtime,matched,deep-reviewed,opened by an inspector
runtime,src/adrl/api/__init__.py,runtime,matched,supporting-read,in a package or bucket an inspector traversed; not individually cited
runtime,src/adrl/api/auth.py,runtime,matched,supporting-read,in a package or bucket an inspector traversed; not individually cited
runtime,src/adrl/api/client.py,runtime,matched,supporting-read,in a package or bucket an inspector traversed; not individually cited
runtime,src/adrl/api/contracts.py,runtime,matched,deep-reviewed,opened by an inspector
runtime,src/adrl/api/http.py,runtime,matched,supporting-read,in a package or bucket an inspector traversed; not individually cited
runtime,src/adrl/api/schema.py,runtime,matched,supporting-read,in a package or bucket an inspector traversed; not individually cited
runtime,src/adrl/api/service.py,runtime,matched,deep-reviewed,opened by an inspector
runtime,src/adrl/api/store.py,runtime,matched,supporting-read,in a package or bucket an inspector traversed; not individually cited
runtime,src/adrl/app.py,runtime,matched,deep-reviewed,opened by an inspector
runtime,src/adrl/cascade/__init__.py,runtime,matched,supporting-read,in a package or bucket an inspector traversed; not individually cited
runtime,src/adrl/cascade/boundary.py,runtime,matched,supporting-read,in a package or bucket an inspector traversed; not individually cited
runtime,src/adrl/cascade/controller.py,runtime,matched,deep-reviewed,opened by an inspector
runtime,src/adrl/cascade/handoff.py,runtime,matched,deep-reviewed,opened by an inspector
runtime,src/adrl/cascade/sticky.py,runtime,matched,supporting-read,in a package or bucket an inspector traversed; not individually cited
