id,title,bucket,baseline_status,baseline_maturity,current_status,current_maturity,two_day_changes,runtime_refs,scope_actually_supported,assessed_maturity,assessment_vs_recorded,limitations,next_promotion_gate,product_milestone,traceability_check
ADRL-CAS-001,"Deterministic trip-wires, with measured coverage",CAS,"Accepted · amended 2026-09-02 [7 Sept baseline; 2 Sept commit: same status, same maturity]","D3 Shadow, review recommends D3 Shadow (trip-wires have post-call shadow evidence; the amendment adds a coverage measurement and a verifier-backed wire that are D2 work, and notes thresholds are untuned for reasoning models)",Accepted · amended 2026-09-02,"D3 Shadow, review recommends D3 Shadow (trip-wires have post-call shadow evidence; the amendment adds a coverage measurement and a verifier-backed wire that are D2 work, and notes thresholds are untuned for reasoning models)",08 Sept sections: Current implementation evidence: routing diagnostic | changelog rows dated 07/08: 0/1 | decision text unchanged,"modules: adrl/cascade/controller.py, adrl/cascade/tripwires.py, adrl/config/models.py | tests citing id: tests/integration/cascade/test_review_defects.py",Deterministic trip-wires incl. verifier-failed lineage events and PostToolUseFailure ingestion as observations; a synthetic repeated-tool observation fired the wire in the diagnostic.,D2,recorded-higher (historical D3),Miss rate unmeasured; thresholds untuned for reasoning models; verifier consumption is process-local.,Trip-wire miss and false-fire rates on organic verified outcomes.,P1 / P3; W7 (baseline review wave W7),INDEX row omits the 2026-09-08 diagnostic section.
ADRL-CAS-002,"Typed failures, versioned enum, measured attribution",CAS,"Accepted · amended 2026-09-02 [7 Sept baseline; 2 Sept commit: same status, same maturity]","D2 Tested, review recommends D2 Tested (typing is implemented and tested; attribution precision against human labels is not yet reported and is added as a gate before these labels feed LRN)",Accepted · amended 2026-09-02,"D2 Tested, review recommends D2 Tested (typing is implemented and tested; attribution precision against human labels is not yet reported and is added as a gate before these labels feed LRN)",none,"modules: adrl/cascade/tripwires.py, adrl/config/checks.py, adrl/core/enums.py | tests citing id: none (covered indirectly)","failure-types-v2 enum with precedence and unverifiable default, tested.",D2,agree,Attribution precision against human labels unreported.,Attribution precision measurement before labels feed LRN.,P2; W7 (baseline review wave W7),ok
ADRL-CAS-003,Action boundary defined; no re-issue after side effects,CAS,"Accepted · amended 2026-09-02 · amended 2026-09-03 (proposed amendment, pending disposition) [7 Sept baseline; 2 Sept commit: status differs, same maturity]","D2 Tested, review recommends D2 Tested only after the golden trace in the follow-ups exists; the current tests cover ""wait for boundary"" but not the streamed-partial-response and parallel-tool-call cases that are where a replay would actually occur","Accepted · amended 2026-09-02 · amended 2026-09-03 (proposed amendment, pending disposition)","D2 Tested, review recommends D2 Tested only after the golden trace in the follow-ups exists; the current tests cover ""wait for boundary"" but not the streamed-partial-response and parallel-tool-call cases that are where a replay would actually occur",08 Sept sections: Current implementation evidence: routing diagnostic | changelog rows dated 07/08: 0/1 | decision text unchanged,"modules: adrl/cascade/boundary.py, adrl/cascade/controller.py, adrl/cascade/handoff.py, adrl/routing/side_effects.py, adrl/wire/observe.py | tests citing id: tests/integration/e2e/test_trust_wiring.py, tests/unit/routing/test_registry_features.py, tests/unit/routing/test_side_effects.py, tests/unit/wire/test_observe.py",Boundary = all tool_use ids answered; no re-issue after streamed tool content; side-effects-v2 provenance parser; controller waited for a complete boundary in the diagnostic.,D2,agree,Gateway-side retry clause untestable without gateway hooks; 2026-09-03 amendment pending.,Gateway contract test (Q7) and organic shadow.,P1 / P3; W7 (baseline review wave W7),INDEX row omits the 2026-09-08 diagnostic section.
ADRL-CAS-004,"Cross-model handoff: provider-pair rules, not one stripping rule",CAS,"Accepted · amended 2026-09-02 [7 Sept baseline; 2 Sept commit: same status, same maturity]","D3 Shadow, review recommends D2 Tested — shadow mode cannot exercise a cross-provider continuation (it never sends the transformed transcript to the target model), so ""shadow evidence"" here is evidence that the transformation *runs*, not that any provider *accepts* it; D3 should be re-claimed only after replay tests against each live provider pair pass",Accepted · amended 2026-09-02,"D3 Shadow, review recommends D2 Tested — shadow mode cannot exercise a cross-provider continuation (it never sends the transformed transcript to the target model), so ""shadow evidence"" here is evidence that the transformation *runs*, not that any provider *accepts* it; D3 should be re-claimed only after replay tests against each live provider pair pass",none,"modules: adrl/cascade/controller.py, adrl/cascade/handoff.py, adrl/config/models.py, adrl/core/types.py | tests citing id: tests/integration/cascade/test_review_defects.py","Provider-pair handoff transform with tool-id mapping and thinking carve-out, tested; no provider ever received a transformed transcript.",D2,recorded-higher (claimed D3; agrees with the review's D2),Replay tests against live provider pairs absent.,Replay tests against each live provider pair.,P3; W7 (baseline review wave W7),ok
ADRL-CAS-005,Sticky escalation within an episode,CAS,"Accepted · unchanged [7 Sept baseline; 2 Sept commit: same status, same maturity]","D2 Tested, review recommends D2 Tested (hysteresis is implemented and tested; the ratchet-cost measurement in the follow-ups is needed before D3)",Accepted · unchanged,"D2 Tested, review recommends D2 Tested (hysteresis is implemented and tested; the ratchet-cost measurement in the follow-ups is needed before D3)",08 Sept sections: Current implementation evidence: routing diagnostic | changelog rows dated 07/08: 0/1 | decision text unchanged,"modules: adrl/cascade/controller.py, adrl/cascade/sticky.py, adrl/learning/explore.py, adrl/ledger/outcomes.py, adrl/proxy/stages.py | tests citing id: none (covered indirectly)","Sticky escalation hysteresis in the controller, tested; exercised unchanged in the diagnostic.",D2,agree,Ratchet cost unmeasured.,Shadow ratchet-cost metric.,P3; W7 (baseline review wave W7),INDEX row omits the 2026-09-08 diagnostic section.
ADRL-CAS-006,"Record the served model, not only the served rung",CAS,"Accepted · amended 2026-09-02 [7 Sept baseline; 2 Sept commit: same status, same maturity]","D2 Tested, review recommends D2 Tested (served-rung correction is tested in `tests/test_router_proxy.py`; served-model capture and the state-loss case are untested and are added as gates for D3)",Accepted · amended 2026-09-02,"D2 Tested, review recommends D2 Tested (served-rung correction is tested in `tests/test_router_proxy.py`; served-model capture and the state-loss case are untested and are added as gates for D3)",none,"modules: adrl/cascade/controller.py, adrl/cascade/sticky.py, adrl/core/types.py, adrl/ledger/state.py, adrl/proxy/pipeline.py, adrl/wire/observe.py | tests citing id: tests/integration/proxy/test_routing_paths.py, tests/unit/wire/test_observe.py","Served rung/model/provider/source recorded from gateway header, message_start or assumed_intended, tested.",D2,agree,"State-loss case on restart declared, not fully tested.",Organic shadow with unconfirmed-receipt fraction.,P1; W6 (baseline review wave W7),ok
ADRL-CAS-007,Terminal failure surfaced; ADRL owns zero retries,CAS,"Accepted · amended 2026-09-02 [7 Sept baseline; 2 Sept commit: same status, same maturity]","D2 Tested, review recommends D2 Tested (terminal-failure surfacing is tested; the retry-ownership contract with the gateway and the protocol-conformant error shape need tests before D3)",Accepted · amended 2026-09-02,"D2 Tested, review recommends D2 Tested (terminal-failure surfacing is tested; the retry-ownership contract with the gateway and the protocol-conformant error shape need tests before D3)",07 Sept sections: Product service evidence; Earlier foundation evidence | changelog rows dated 07/08: 2/0 | decision text unchanged,"modules: adrl/cascade/controller.py, adrl/core/errors.py, adrl/proxy/errors.py, adrl/proxy/upstream.py, adrl/wire/profiles/messages_responses.py | tests citing id: none (covered indirectly)","Native Messages error rendering, zero ADRL retries, import-order fix tested (2026-09-07).",D2,agree,Gateway retry-ownership contract untested.,Gateway retry contract test before D3.,P1; W6 (baseline review wave W7),ok
ADRL-CAS-008,Escalation scope under subagents,CAS,"Proposed 2026-09-02 (new, from adversarial review) [7 Sept baseline; 2 Sept commit: same status, same maturity]","D0 Design, review recommends D0 Design (depends on SEM-006, also D0; interim behaviour — passthrough — is what runs today)","Proposed 2026-09-02 (new, from adversarial review)","D0 Design, review recommends D0 Design (depends on SEM-006, also D0; interim behaviour — passthrough — is what runs today)",none,modules: adrl/cascade/controller.py | tests citing id: none (covered indirectly),Interim subagent passthrough implemented in the cascade controller (subagent_passthrough event); the decision's escalation-scope rules are unbuilt.,D0 for the decision; interim passthrough implemented and tested,agree,Depends on SEM-006 routing half and Q3.,Owner and disposition; golden tests for parent/child escalation split-brain.,P3; W7 (baseline review wave W7),ok
ADRL-CAS-009,Action-effect provenance and authorization boundary (Proposed),CAS,"Proposed 2026-09-03 (new, from external review) [7 Sept baseline; 2 Sept commit: not committed (file created 2026-09-03, untracked)]","D0 Design, review recommends D0 Design (the 2026-09-02 implementation trusts MCP hints unconditionally and classifies compound shell commands by their first word)","Proposed 2026-09-03 (new, from external review)","D0 Design, review recommends D0 Design (the 2026-09-02 implementation trusts MCP hints unconditionally and classifies compound shell commands by their first word)",none,modules: adrl/routing/side_effects.py | tests citing id: tests/integration/e2e/test_trust_wiring.py,"side-effects-v2 parser: MCP hints honoured only from allow-listed servers, compound commands parsed, unknown destructive, read-only calls enumerated (tests, e2e trust wiring).",D2 for the provenance parser,recorded-lower (field describes the pre-2026-09-03 implementation that trusted hints unconditionally),Trusted-server allow-list ships empty; Proposed status undisposed.,Dispose status and update the field; populate the allow-list from an attested inventory.,P1; W7 (baseline review wave W7),Maturity field stale since 2026-09-03; CAS bucket README verdict table has no CAS-009 row.
ADRL-EVL-001,"Baseline set: four fixed comparators, two price bases",EVL,"Proposed 2026-09-03 (first capture) [7 Sept baseline; 2 Sept commit: not committed (file created 2026-09-03, untracked)]","D0 Design; the overview records ""a best-single-model cost baseline exists"" (Phase 0), but no baseline set is defined as a versioned artifact; the adrl-core build carries price vectors but computes no baseline comparison",Proposed 2026-09-03 (first capture),"D0 Design; the overview records ""a best-single-model cost baseline exists"" (Phase 0), but no baseline set is defined as a versioned artifact; the adrl-core build carries price vectors but computes no baseline comparison",none,none (intentionally unmapped),No implementing module; price vectors exist but no versioned baseline set or comparison.,D0,agree,Roadmap DQ on a Claude-only first trial versus four baselines undisposed.,Versioned baseline-set artifact and one comparison report.,P2; W7 (baseline review wave W7),ok
