"id","kind","definition","exit_gate_as_defined","state_claimed","evidence_paths","state_assessed","assessment_basis","unmet_gate_items","dependencies","sequencing_correction"
"P0","product-stage","Validate the reason to exist: 'A buyer has a measurable problem that alternatives do not adequately solve'. Interview 12-15 participants across at least eight organizations; inspect cost reports, failed/repaired tasks and model-selection workflows.","'three organizations willing to define a trial, at least two with a named budget owner and feasible access, and a measurable pain statement supported by artifacts'. Stop/replan: no controllable budget, no testable workflow, or alternatives solve it at acceptable cost.","Not started; roadmap is 'Planning only' and 'does not authorize ... customer outreach'.","register/reports/adrl-product-roadmap-2026-09-08.md#p0; register/reports/research/product-roadmap-2026-09-08/validation.json (customer_outreach:false)","planned","No interview record, partner name, spend artifact or trial definition exists anywhere in the register. The only named customer setting (the company, reports/adrl-product-report-2026-09-03.md) is disclaimed by the roadmap as 'historical project context, not a validated external customer'.","All exit items: interviews, artifacts, trial definitions, budget owners, LiteLLM/native comparison prep.","None technical; requires product-founder time and authorization for outreach.","Should run now and in parallel with any remaining engineering. Two days produced fourteen engineering slices and zero discovery artifacts; the roadmap itself says the next work must reduce 'customer-demand risk'. P0 evidence is the only thing that can tell whether the W3 custody chain is worth finishing."
"P1","product-stage","Make routing visible and dependable: 'Real selector, actual controlled test dispatch, faithful explanations'. Correct mixed-intent/wording defects; demonstrate initial choice, continuation, boundary-limited escalation, abstention, policy denial and a typed unavailable state; show a real dispatch receipt from controlled endpoints; complete only the custody/exact-output/model-path controls needed for the next real experiment; include a minimal decision-memory graph design and one synthetic MEM-007/008 traversal.","'replay the preserved failing cases, run fresh paraphrases and mixed tasks, and show the selected destination matching the actual controlled dispatch. Exercise streaming, cancellation, side-effect boundaries and restriction rechecks for the named profile.' Stop: explanations do not match execution, a restriction can be bypassed, or accounting loses attempts.","Partially started: Lab A.1 is 'the first bounded P1 experiment-workbench slice'; W7.0a 'validated against preserved component and full-path lab baselines'.","register/reports/research/routing-lab-2026-09-08/run-2/results.json; register/reports/research/routing-correction-2026-09-08/validation.json; register/reports/research/routing-correction-2026-09-08/lab-final/report.md; register/reports/adrl-lab-first-run-2026-09-08.md; register/reports/adrl-routing-correction-2026-09-08.md","offline-tested","Real Router/CascadeController/ledger code ran against an in-process synthetic endpoint: 16 planned cells, 10 decision IDs, 14 dispatches (run-2/results.json execution_mode 'simulation', evidence_tier T4); 720 component decisions before/after with 7+18 changed cells (validation.json). Preserved failing cases replayed and fresh paraphrases run: yes. Selected tier matches dispatched tier for mixed cases in lab-final/report.md. No controlled real endpoint, no streaming/cancellation/side-effect exercise in the lab, no abstention or typed-unavailable demonstration, no MEM-007/008 graph traversal, custody unfinished.","Real dispatch receipt from a controlled (non-synthetic) endpoint; streaming, cancellation, side-effect boundary and restriction-recheck exercise for the named Messages profile; abstention and typed unavailable-state demonstration; one synthetic decision-memory traversal; active-copy erasure, exact-close association, concrete real-harness profile (all listed as blockers in the roadmap's own P1 text).","W7.0a (done); minimum W3 custody (open); minimum W6 controlled listener (not started); named conformance profile (not declared).","Correct as the first engineering stage. The 'minimum W3/W4/W6 prerequisites' were expanded into a nine-slice W3 container backend; P1's stated exit needs a controlled endpoint receipt and the existing Messages proxy, not container lifecycle. Bring the controlled-endpoint dispatch demonstration forward; push the Docker execution backend behind P2 or W6."
"P2","product-stage","Prove value on one harness: 'Better complete-task economics at acceptable quality on a declared scope'. Claude-family routes on Claude Code, fixed-model baselines, at least three task families and two repositories, independently executed alternatives from the same initial state, frozen versions, full attempt accounting, context ablations.","'an auditable comparison reports acceptable quality, total cost and uncertainty; the buyer sees worthwhile net value at an indicated price. Formal exposure still requires EVL's applicable gates and review.' Stop: quality loss, negative net value, untrustworthy verification, insufficient controllable spend or no advantage over a practical alternative.","Not started. Entry requires 'qualified capture/verifier/dispatch, approved access and finite budget, resolved applicable evaluation contract'.","register/reports/adrl-product-roadmap-2026-09-08.md#p2; register/reports/research/adrl-execution-state.json (paid_api_budget_approved:false, live_routing_exposure_approved:false)","planned","No real coding task has been executed under ADRL routing on any harness. The one real Claude Code exercise (live observation pilot) made zero routing decisions. No budget, repository set, verifier corpus or baseline freeze exists.","Every entry and exit item. Specifically unowned: paid budget approval, authorized repositories, independent verifier review, DQ1-DQ3 dispositions, gateway credential path (subscription vs API billing).","P1 exit; W3 exact-close; W4 verifier corpus; W6 controlled path for the named profile; user budget/access decision; reviewer assignment.","This is the stage that decides the company thesis. Everything not on its critical path (Docker backend beyond one profile, PRD/HLD/LLD packs, context graph, K0, OpenCode) should be deferred until P2 has a frozen packet and a budget."
"P3","product-stage","Prove adaptation and a repeatable pilot: compare initial-choice-only policy against qualified progress/failure signals at safe boundaries; rule-health refresh with admissible sources; small operational pilot.","'two design partners complete the agreed evaluation; at least one pays to continue, and an additional budget owner confirms a purchase path.' Pilot floor: two weeks and 100 eligible task attempts. Stop: adaptation adds cost without benefit, developers disable it, or each partner needs bespoke engineering.","Not started.","register/reports/adrl-product-roadmap-2026-09-08.md#p3","planned","Cascade switching exists only as a mechanism on invented observations (routing-demonstration results.json cascades); rule-health refresh is invoked manually by a driver and 'no recurring refresh is wired in' (adrl-routing-in-action). No partner exists.","All; plus RTG-007 trajectory amendment disposition and 'DQ5' handoff hypotheses.","P2; CAS/RTG amendments; bounded exposure approval; partners from P0.","Order is right. Do not build rule-health service wiring or trajectory features until P2 shows the initial-choice policy has value to measure against."
"P4","product-stage","Make the product reusable: qualify OpenCode against the same contracts; admit Responses under SEM-007 and the Codex path; publish versioned schemas, deprecation policy, conformance fixtures, support matrix.","'the FND-005 two-harness/two-protocol requirement is actually met; a fresh integrator can follow the SDK/profile guide; compatibility, migration, cancellation, identity, state continuity, retention and rollback are demonstrated. Proposed setup target: a diagnostic within 15 minutes'.","Not started ('Months 4-6').","register/reports/adrl-product-roadmap-2026-09-08.md#p4; register/design/adrl-multi-harness-product-contract-2026-09-07.md (P3-P5 there)","planned","OpenCode has 'No registered adapter or compatibility result' (waves/w0-baseline.md support matrix). Responses is 'Admission design only; no registered profile'. Same claim duplicated in the multi-harness contract P3-P5, course-correction stage 1b, and W5/W8A/W8B.","All.","P2/P3 evidence; W5, W8A, W8B.","Correctly placed after value proof. Flag: the lab-planning packet (entry 021) already schedules 'a separately qualified OpenCode adapter' as step 5 of the next lab milestone, pulling P4 work ahead of P2."
"P5","product-stage","Learn better routing policies: measured capability table or small comparative estimator vs heuristic and fixed policies; train only on admitted evidence; calibration, coverage, fresh holdouts.","'a candidate produces worthwhile independently confirmed routing improvement, passes the complete evaluation report and receives scoped promotion. Show one trace from a changed decision through its verified result and owning ADR.' Entry: RTG-007 upside assessment, EVL-004 data/advisory gates (working minimum 300 qualifying labels), reconciled T1/T5, tested abstention.","Not started ('Months 6-9, only if upside/data gates pass').","register/reports/adrl-product-roadmap-2026-09-08.md#p5","planned","Zero admitted T1 labels exist (execution state: no learning admission; W7.0a features-v2 rows are rejected by the v1 learning contract). LRN estimator module exists (runtime src/adrl/learning/estimator.py) but 'is not wired into that selector'.","All; plus LRN-004 time-indexed allowlist amendment.","W9; P2/P3 data; DQ1.","Keep behind P2. Note that P5's 300-label minimum is unreachable from a 30-task diagnostic plus a 2-week/100-attempt pilot; the roadmap should say how many pilot-months separate P3 from P5."
"P6","product-stage","Reduce the cost of improving ADRL: automate failure grouping, candidate preparation and experiment packets within a fixed search space.","'over multiple cycles, proposal automation reduces the total effort needed to obtain durable approved improvements. Include unsuccessful proposals and reviewer time.' Entry: several manually completed, independently reviewed improvement cycles.","Not started ('Months 9-12').","register/reports/adrl-product-roadmap-2026-09-08.md#p6","planned","One manual verifier-comparison mechanism exists (adrl-improvement-experiment: 7 curated variants, same author). No independently reviewed cycle has occurred.","All.","W10; W8B; independent reviewers.","Fine as ordered; premature to plan in detail now (appears in five documents)."
"P7","product-stage","Test RSI and selective scale: compare improver A with improver B from the same incumbent, equal budget; scale tenancy only where paid demand justifies.","'B produces greater independently accepted net routing benefit per total search, evaluation and review cost across multiple task families and later windows.' Stop: no reproducible improver advantage, no commercial return.","Not started ('Months 12-18').","register/reports/adrl-product-roadmap-2026-09-08.md#p7","planned","No improver exists to compare; the term appears in blueprint milestone 6, W12, lab plan section 9 and the investment brief with identical content.","All.","P6; W12; W11 demand.","Remove detailed P7 planning from leadership-facing documents until P5 has a result; it currently occupies as much text as P0."
"W0","wave","Establish the baseline: preserve both repositories' uncommitted state in verified snapshots; produce build/config/evidence manifests; reconcile README/known gaps against code; automate the six required checks plus inventory, contract export and ADR coverage; create risk/decision queue; assign actual people to review roles; prepare W3 packet and a time-boxed Responses spike.","'reproducible source snapshot; documented check results for the baseline used for implementation; current support matrix; each open blocker tied to an owner and wave; W3 acceptance/fault cases frozen before coding.'","Execution state: 'validated', disposition 'advance_to_offline_W3' (2026-09-07).","register/reports/research/adrl-w0-baseline-2026-09-07.json (baseline 549, final 556 tests, 11 checks, 280 inputs, independent_review:false); register/reports/waves/w0-baseline.md; register/reports/research/adrl-maturity-baseline-2026-09-07.json","offline-tested","Check runner executed against the real runtime; source backup counts (278/161) recorded; support matrix and blocker table exist. Engineering limits admit 'Local runner, no hosted CI' (runtime has no .github directory in the snapshot). Review roles were not assigned to people: 'Independent evidence/security reviewers are unassigned'.","'assign the actual people for review roles' (unmet); W8A spike prepared but never executed.","None.","Correct first step. It should have also fixed the calendar: the reviewer-assignment item has been carried as 'pending' through every later slice with no owner or date."
"W1-W2","wave","Historical waves referenced by the plan manifest as 'existing_wave_1_2_evidence: Observation and session-verification work exists': product foundation (API preview 1-2), local product services, live observation pilot, independent session verification (preview 3-4).","Not contracted in the current roadmap; the roadmap says 'no whole-wave general graduation inferred'.","Complete as dated reports; grades D2 scoped.","register/reports/adrl-live-observation-pilot-2026-09-07.md; register/reports/research/adrl-live-observation-pilot-2026-09-07.json (real_tool_calls 18, events 18, adrl_model_requests 0, decision_rows 0); register/reports/adrl-session-verification-2026-09-07.md; register/reports/adrl-product-services-implementation-2026-09-07.md","real-harness-demonstrated","The only real-harness evidence in the program: two Claude Code sessions (2.1.260/2.1.263) on one task family, hooks delivered 18/18 events, one failed action captured; verification of the repair ran 8 independent tests. Observation mode only: zero routing decisions, zero model requests through ADRL, harness-reported model identity. Not independently evaluated (same implementer chose checks).","Model-path interception on a real harness; fresh tasks; second user; public trusted verification submission.","None.","This is the closest thing to a product demo and should have been extended (a second task, gateway mode) before building the container backend."
