"id","date_time_ist","workstream","kind","intended_outcome","files_changed","baseline","behaviour_before","behaviour_after","claimed_validation","independently_inspected_evidence","outstanding_work","roadmap_stage","owning_adrs","evidence_paths"
"C01","2026-09-07 ~10:30-11:09 (PDF mtime 11:09; Claude telemetry invocations 10:31 and 12:33; no manifest timestamp)","1","research","Second-pass independent research/architecture review of the register and 3 Sep critique; disposition of 14 ranked findings; artifact correspondence check","reports/adrl-independent-research-review-2026-09-07.md (46.9KB); output/pdf/adrl-independent-research-review-2026-09-07.pdf; reports/research/adrl-independent-review-manifest-2026-09-07.json; reports/research/adrl-artifact-source-check-2026-09-07.json","Register commit 1c172c9 (2 Sep) plus untracked 3 Sep reports; runtime pre-window state unknown (no runtime commits)","Register held 3 Sep product report and research critique; no 7 Sep review","Review report, PDF and a source-check manifest exist; 77 critique bodies compared with published artifact (matching 77/77); product artifact not accessible","Manifest lists inputs/outputs with sha256; artifact-source-check records comparison method","Opened the manifest (review_date 2026-09-07, outputs = md + pdf with hashes) and artifact-source-check (77 matching bodies, product artifact sign-in blocked). PDF present on disk at output/pdf. Did not recompute PDF hash. Time of writing not established by any manifest","None stated; recommendations feed course-correction plan","Pre-W0 research input","FND-005, SEM-007, EVL-007 (as cited by later docs)","reports/adrl-independent-research-review-2026-09-07.md; reports/research/adrl-independent-review-manifest-2026-09-07.json; reports/research/adrl-artifact-source-check-2026-09-07.json"
"C02","2026-09-07 before 14:18 (README hash 461c98 precedes product-foundation before-hash)","1","research","Read-only source inspection and focused offline baseline for the course-correction plan (39 focused tests, config check)","reports/adrl-course-correction-plan-2026-09-07.md (27.6KB); reports/research/adrl-course-correction-baseline-2026-09-07.json; no runtime source change","13 runtime files hashed in baseline json (README 461c98eb...); pre-window state otherwise unknown","No run-learn-correct plan; runtime untested in this window","Plan with checked items (adrl config check 9 checks, manifest signature verified; 39 tests in 2.75s on unit config + e2e + adversarial)","39 passed 0 failed; junit sha recorded","Opened baseline json: 39 test ids, passed 39, real_model_run_started false, budget_selected false. Plan later overlaid with five dated update banners (services, pilot, observation, verification, roadmap)","Everything in the plan; superseded by roadmap on same day","Pre-W0 planning","FND-005, SEM-007","reports/adrl-course-correction-plan-2026-09-07.md; reports/research/adrl-course-correction-baseline-2026-09-07.json"
"C03","2026-09-07 between C02 and C04 (no timestamp; referenced by course-correction plan as companion)","2","specification","Define ADRL as reusable product across harnesses: API surface, adapter/profile split, integration order, release gates","design/adrl-multi-harness-product-contract-2026-09-07.md (21.3KB); profiles/anthropic-messages-v1.yaml (mtime 7 Sep 15:54)","unknown (no manifest)","Single-harness framing in earlier plan","Design proposal for product boundary; explicitly not implemented API","None (design only)","Opened head and headings; later overlay banner cites product services (506 tests). No validation artifact covers this file","Endpoint names and schemas remain proposals","Pre-W0 planning (feeds W5/W8A)","FND-001, FND-005, SEM-007","design/adrl-multi-harness-product-contract-2026-09-07.md"
"C04","2026-09-07 14:18 (pytest junit timestamp +05:30)","2","implementation","Extract Messages protocol boundary, Claude Code identity adapter, capability discovery endpoint, API preview schemas, Responses admission decision","25 runtime files (19 new incl. src/adrl/api/{__init__,contracts,schema}.py, src/adrl/wire/adapters.py, src/adrl/wire/profiles/*, tools/export_api_contract.py, api/adrl-api-v1-preview.json, docs/protocol-boundary.md, docs/responses-admission.md; modified core/types.py, proxy/*, wire/identity.py, README, docs) ; patch +2830/-169","reports/research/adrl-product-foundation-2026-09-07.json before-hashes (README 461c98eb -> 4b6907ba); 233 unchanged originals verified","428-test suite; protocol handling inline in pipeline; no product API namespace","463 tests; discovery endpoint GET /adrl/v1/capabilities live; other product ops return 501","463 tests, 6 checks passed, 215 inventory fields; import cycle found by smoke check and fixed (3 fresh-process regressions added); two sandbox-permission environment failures on first run","Opened manifest: tests 463/0 failures at 14:18:43+05:30, application passes [23,5], import_order_fix noted. Patch file lists the 25 paths. Not rerun","No live harness/provider run; other product endpoints unimplemented","Pre-W0 (register calls it product foundation; feeds W5/W8A)","FND-001, FND-005, SEM-007, SEM-002, CAS-007, MEM-001, TRU-001","reports/adrl-product-foundation-implementation-2026-09-07.md; reports/research/adrl-product-foundation-2026-09-07.json; reports/research/adrl-product-foundation-2026-09-07.patch"
"C05","2026-09-07 after 14:18, before 15:46 (documentation pass after C04)","1","reporting","Synchronize register (FND-001/005, SEM-007/002, CAS-007, MEM-001, TRU-001, bucket overviews, INDEX, CHANGELOG, REVIEW-LOG, README, dated note in source/01) with product foundation; add register AGENTS.md","19 register documents (see validation synchronized_documents); AGENTS.md (untracked, new); source/01-overview-tenets-taxonomy.md (+8 lines)","Register commit 1c172c9 plus 3 Sep untracked material; exact pre-sync bodies not archived","Register described 3 Sep state only","Register carries implementation evidence rows; 77 decisions indexed once","Validation json: 77 decisions, 42 new links ok, 25 implementation hashes verified, runtime tests not rerun","Opened validation json (status passed, runtime_tests_rerun false) and the sync report. git diff --stat on original register shows 46 tracked files +2840/-61 since 2 Sep; cannot attribute lines to this pass alone","Confluence/hosted artifacts not republished","Pre-W0","FND-001, FND-005, SEM-007, SEM-002, CAS-007, MEM-001, TRU-001","reports/adrl-register-sync-2026-09-07.md; reports/research/adrl-register-sync-validation-2026-09-07.json"
"C06","2026-09-07 15:46 (pytest junit timestamp +05:30)","2","implementation","Local product services API preview 2: session binding/status, encrypted observation intake, timeline/decision reads, Claude Code connect files and PostToolUse hooks, migration 0003","25 runtime files (new: src/adrl/api/{auth,client,http,service,store}.py, src/adrl/cli/product.py, ledger/migrations/0003_product.sql, docs/product-services.md, 4 test files; modified app.py, cli/main.py, ledger/store.py, proxy/asgi.py, wire/parse.py, api json, README, docs); patch +1933/-63","reports/research/adrl-product-services-2026-09-07.json (README 4b6907ba -> debb84f5; baseline 258 files, 244 unchanged verified)","Product ops returned 501; ADRL assertion could pass through to gateway; ledger writer cancellable mid-transaction","Authenticated sessions and intake work over loopback; credential headers stripped; writer owns started transactions with FULL sync","506 tests, 6 checks, 241 fields, real loopback HTTP smoke; two defects fixed (credential pass-through, writer cancellation)","Opened manifest: 506 tests at 15:46:41+05:30, http_smoke passed with model_requests 0. Patch lists 25 paths. Register validation json lists 10 affected decisions","No real Claude process; unbound legacy forwarding still release blocker; child binding unsupported","Pre-W0 (register grades D2 scoped)","FND-001, FND-005, SEM-002, SEM-007, TRU-001, CAS-007, MEM-001, MEM-005, MEM-006, MEM-010","reports/adrl-product-services-implementation-2026-09-07.md; reports/research/adrl-product-services-2026-09-07.json; reports/research/adrl-product-services-2026-09-07.patch; reports/research/adrl-product-services-register-validation-2026-09-07.json"
"C07","2026-09-07 between 15:46 and the live runs (no timestamp; CHANGELOG order)","3","prepared-not-executed","Prepare a small dataset-validator fixture (9 files) and task P01 for a Claude subscription pilot; check auth and billing paths","reports/adrl-claude-subscription-pilot-2026-09-07.md; reports/research/adrl-claude-subscription-pilot-2026-09-07.json; FND-005/SEM-007 notes; temp workspace /private/tmp/adrl-claude-pilot-9x3n90aj (not in snapshot)","dataset-validator source hashes recorded in json (9 files)","No pilot fixture","Fixture copied; baseline 2 tests pass, 2 KeyError; Claude 2.1.260 loggedIn false in sandboxed env; 0 model calls","Validation json: 140 links ok, 25 runtime hashes match, model_runs 0","Opened both json files. Temp workspace not present in snapshot; cannot verify fixture beyond recorded hashes","Observation launcher unimplemented at this point","Pre-W0 pilot prep","FND-005, SEM-007","reports/adrl-claude-subscription-pilot-2026-09-07.md; reports/research/adrl-claude-subscription-pilot-2026-09-07.json; reports/research/adrl-claude-subscription-pilot-validation-2026-09-07.json"
"C08","2026-09-07 16:12 (pytest junit timestamp +05:30)","3","implementation","Observation-only integration mode (API preview 3): immutable gateway/observe bindings, migration 0004, inventory checker discovers migrated columns","15 runtime files (new: ledger/migrations/0004_integration_mode.sql, tests/unit/test_data_inventory_migration.py, tests/unit/test_product_migration.py; modified api/{store,service,client,contracts}.py, cli/product.py, tools/check_data_inventory.py, api json, docs, README); patch adrl-observation-mode +1212/-970","reports/research/adrl-live-observation-pilot-2026-09-07.json (README debb84f5 -> 1b46f3f2; 257 unchanged verified)","Sessions could only bind as gateway","Observe-mode sessions cannot dispatch models through ADRL; preview-2 envelopes still readable","511 tests, 6 checks, 242 fields","Opened manifest: 511 tests at 16:12:18+05:30; checks dict. Patch paths match manifest source_files","Gateway/local-model/privacy-pin egress validation absent","Pre-W0 (later counted as Wave 1/2 partial evidence)","FND-005, SEM-007, TRU-001, MEM-001, EVL-008","reports/research/adrl-observation-mode-2026-09-07.patch; reports/research/adrl-live-observation-pilot-2026-09-07.json"
"C09","2026-09-07 around 16:12 (runs not timestamped; harness versions 2.1.260 then 2.1.263)","3","experiment","Two real Claude Code sessions on the fixture: native Sonnet baseline, then instrumented observation+repair; reconcile 18 tool events","Pilot copy of dataset-validator only (validation/core/templates.py, two prompt templates); reports/research/dataset-validator-pilot-fix-2026-09-07.patch (+8/-8); dataset-validator-pilot-verifier-2026-09-07.py","Fixture hashes in C07 json","Native fix passed 4 existing tests but failed independent compatibility review (formatter regressed) = failed candidate","Repair passed 8 tests; 18 tool events (17 completed, 1 failed), 0 hook failures, 0 pending outbox; $0.1172 + $0.1749 API-equivalent; claude-sonnet-5 plus haiku usage","independent_review block: accepted true, 8 tests, all_tool_ids_reconcile true, ADRL token absent from Claude stream","Opened pilot json runs[] and independent_review; read the 8-line task patch and verifier head. Raw Claude traces are not in snapshot; costs are harness-reported","One task family, one user; not a paired economic comparison; no routing exercised","Pre-W0; only real-harness evidence in window","FND-005, SEM-007, TRU-001, MEM-001, EVL-008","reports/adrl-live-observation-pilot-2026-09-07.md; reports/research/adrl-live-observation-pilot-2026-09-07.json; reports/research/dataset-validator-pilot-fix-2026-09-07.patch; reports/research/adrl-live-observation-register-validation-2026-09-07.json"
"C10","2026-09-07 16:39 (jobs 11:09:37Z)","2","implementation","Independent session verification (API preview 4): adrl product verify runs pinned checks on a separate snapshot; encrypted started/finished receipts in timeline; migration 0005","14 runtime files (new: ledger/migrations/0005_session_verification.sql, ledger/session_verification.py; modified api/{contracts,service,store}.py, cli/product.py, gates/sandbox.py, api json, docs, README, 2 tests); patch +2056/-1008","reports/research/adrl-session-verification-2026-09-07.json (README 1b46f3f2 -> f56ac99f; 260 unchanged verified)","Verification lived outside product; Seatbelt read scope misdescribed","Two verifier jobs (8 tests each) appended 4 receipts to a copied timeline (18 -> 22 entries)","532 tests (per report/CHANGELOG), 6 checks, 249 fields; 2 jobs passed","Opened manifest: 7 checks with outputs, pilot block (2 jobs, counts product_verifications 4, new_claude_calls 0), verifier plan json with artifact hashes. Test total 532 taken from report text; manifest pytest output truncated in my view","Remote verifier role, task-close snapshot binding pending","Pre-W0 (feeds W3/W4)","MEM-003, MEM-001, MEM-005, MEM-010, SEM-007, TRU-001, SAF-007, LRN-001, EVL-008, FND-005","reports/adrl-session-verification-2026-09-07.md; reports/research/adrl-session-verification-2026-09-07.json; reports/research/adrl-session-verification-2026-09-07.patch; reports/research/adrl-session-verifier-plan-2026-09-07.json"
"C11","2026-09-07 before C12 (no timestamp; overlay banner cites later experiment)","4","specification","Research-informed proposal for a bounded self-improvement track (three meanings of adaptive; proposal loop)","reports/adrl-adaptive-improvement-proposal-2026-09-07.md (11.6KB)","unknown","No improvement track in roadmap","Proposal document; no runtime or decision change","None","Opened head. No validation record covers it","Everything proposed","Pre-W0 (feeds W10/W12)","LRN-007, EVL-007 (by later citation)","reports/adrl-adaptive-improvement-proposal-2026-09-07.md"
